NAME,formula,CAS-nr.,Tc / K,Pc / kPa,vc / cm3 mol-1,??i
P-DICHLOROBENZENE,C6H4Cl2,106-46-7,685,3951.675,372,0.27
BENZONITRILE,C7H5N,100-47-0,699.4,4215.12,323,0.36
NITROBENZENE,C6H5NO2,98-95-3,712,3495.713,340,0.394
BENZENE,C6H6,71-43-2,562.1,4893.997,259,0.212
HYDROGEN CYANIDE,CHN,74-90-8,456.8,5390.49,139,0.407
BUTYL BROMIDE,C4H9Br,109-65-9,571.1,4629.539,327,0.3471
BROMINE,Br2,7726-95-6,584,10335.15,127,0.132
2-BUTOXYETHANOL,C6H14O2,111-76-2,633.9,3269.758,423.6,0.5114
1-BUTANOL,C4H10O,71-36-3,562.9,4417.77,274,0.59
2-BUTANONE,C4H8O,78-93-3,535.6,4154.325,267,0.329
N-BUTANE,C4H10,106-97-8,425.2,3799.688,255,0.193
"CIS-1,2-DICHLOROETHYLENE",C2H2Cl2,156-59-2,537,5603.272,200,0.21
2-CHLOROETHANOL,C2H5ClO,0107-07-03,582,5799.843,212,0.6776
BUTYL CHLORIDE,C4H9Cl,109-69-3,542,3688.23,312,0.218
CHLOROFORM,CHCl3,67-66-3,536.4,5471.55,239,0.216
3-METHYLPHENOL,C7H8O,108-39-4,705.8,4559.625,310,0.464
CYCLOHEXANE,C6H12,110-82-7,553.8,4080.358,308,0.213
CYCLOPENTANE,C5H10,287-92-3,511.7,4509.976,259,0.1921
CYCLOHEXENE,C6H10,110-83-8,560.4,4905.6,292,0.2741
METHYLCYCLOHEXANE,C7H14,108-87-2,572.1,3479.501,369,0.2477
METHYLCYCLOPENTANE,C6H12,96-37-7,532.7,3789.555,318,0.239
DIBUTYL ETHER,C8H18O,142-96-1,580,2533.125,500,0.5
FORMIC ACID ISOPENTYL ESTER,C6H12O2,110-45-2,577,3130.942,387.5,0.4024
DECANE,C10H22,124-18-5,617.9,2099.454,603,0.49
"N,N-DIETHYLAMINE",C4H11N,109-89-7,496.6,3708.495,301,0.3031
"N,N-DIMETHYLANILINE",C8H11N,121-69-7,687,3627.435,400,0.4049
"1,2-DIBROMOPROPANE",C3H6Br2,78-75-1,640.8,5095.634,331,0.3024
"1,1-DICHLOROETHANE [R 150A]",C2H4Cl2,75-34-3,523,5066.25,240,0.248
"1,2-DICHLORETHANE",C2H4Cl2,0107-06-02,561,5370.225,220,0.286
"TRANS-1,2-DICHLOROETHENE",C2H2Cl2,156-60-5,517,5520,220,0.2131
DICHLOROMETHANE,CH2Cl2,1975-09-02,510,6355,193,0.2027
"1,2-DICHLOROPROPANE",C3H6Cl2,78-87-5,577,4458.3,293.8,0.241
"N,N-DIMETHYLFORMAMIDE (DMF)",C3H7NO,1968-12-02,650,5499.921,262,0.389
DIMETHOXYMETHANE,C3H8O2,109-87-5,490.9,3957.755,213.2,0.2222
"2,4-DIMETHYLPENTANE",C7H16,0108-08-07,519.8,2739.828,418,0.306
"1,4-DIOXANE",C4H8O2,123-91-1,587,5208.105,238,0.288
"2,6-DIMETHYLPYRIDINE",C7H9N,108-48-5,623.8,3901.013,382.7,0.3559
DODECANE,C12H26,112-40-3,658.8,1809.665,713,0.562
BENZALDEHYDE,C7H6O,100-52-7,695,4660.95,318,0.32
ACETIC ACID BUTYL ESTER,C6H12O2,123-86-4,575.7,3141.075,400,0.4345
METHYL ACETATE,C3H6O2,79-20-9,506.8,4691.347,228,0.32
ACETIC ACID,C2H4O2,64-19-7,594.4,5785.657,171,0.4218
FURFURAL,C5H4O2,1998-01-01,657,5512.08,252,0.4522
DIPROPYLAMINE,C6H15N,142-84-7,555.8,3630,407,0.4335
HYDROGEN BROMIDE,HBr,10035-10-6,363.2,8551.83,100,0.063
1-HEXADECENE,C16H32,629-73-2,717,1337.49,900,0.721
HEXANE,C6H14,110-54-3,507.4,3014.419,370,0.2975
HYDROGEN FLUORIDE,HF,7664-39-3,461,6484.8,69,0.372
HEPTANE,C7H16,142-82-5,540.3,2733.748,432,0.3457
2-HEPTANONE,C7H14O,110-43-0,611.5,2989.088,434,0.425
HYDRAZINE,H4N2,0302-01-02,653,14692.13,96.1,0.328
2-METHYLBUTANE,C5H12,78-78-4,460.4,3380.202,306,0.227
2-PROPANOL,C3H8O,67-63-0,508.3,4762.275,220,0.665
DIISOPROPYL ETHER,C6H14O,108-20-3,500,2877.63,386,0.34
"2,2,4-TRIMETHYLPENTANE",C8H18,540-84-1,543.8,2569.602,468,0.303
ISOPRENE,C5H8,78-79-5,483.3,3739.997,266,0.164
METHYL IODIDE,CH3I,74-88-4,528,6586.125,190,0.1421
1-HEXENE,C6H12,592-41-6,504,3206,350,0.2839
DIISOPROPYLAMINE,C6H15N,108-18-9,525,3029.617,385,0.3333
1-METHYL NAPHTHALENE,C11H10,90-12-0,772,3566.64,445,0.334
2-METHYL NAPHTHALENE,C11H10,91-57-6,764.3,3505.845,455,0.3464
METHANOL,CH4O,67-56-1,512.6,8095.868,118,0.559
2-METHYLPENTANE,C6H14,107-83-5,497.7,3039.75,368,0.279
3-METHYLPENTANE,C6H14,96-14-0,504.6,3119.797,368,0.275
2-METHOXYETHANOL,C3H8O2,109-86-4,597.6,5285,263,0.4411
MORPHOLINE,C4H9NO,110-91-8,618,5471.55,253,0.37
DIACETONE ALCOHOL,C6H12O2,123-42-2,606,3600.077,374,0.7565
BUTYLBENZENE,C10H14,104-51-8,660.5,2887.763,497,0.392
4-METHYL-2-PENTANONE,C6H12O,0108-10-01,571,3272.797,371,0.4
3-METHYLPYRIDINE,C6H7N,108-99-6,645,4650.818,288,0.296
4-METHYLPYRIDINE,C6H7N,108-89-4,646,4458.3,325,0.27
2-METHYL-1-PROPANOL,C4H10O,78-83-1,547.7,4296.18,273,0.588
ALPHA-METHYL STYRENE,C9H10,98-83-9,654,3555,413.6,0.342
NAPHTHALENE,C10H8,91-20-3,748.4,4053,410,0.302
NITROMETHANE,CH3NO2,75-52-5,588,6312.547,173,0.346
1-NITROPROPANE,C3H7NO2,0108-03-02,606,3999.997,283,0.3533
1-NONANOL,C9H20O,0143-08-08,671,2546,544,0.6177
OCTANE,C8H18,111-65-9,568.8,2494.622,492,0.394
1-OCTENE,C8H16,111-66-0,566.6,2624.317,464,0.386
2-METHYLPHENOL,C7H8O,95-48-7,697.6,5005.455,282,0.443
1-OCTADECENE,C18H36,112-88-9,739,1134.84,1012,0.837
4-METHYLPHENOL,C7H8O,106-44-5,704.6,5147.31,332,0.515
PENTANE,C5H12,109-66-0,469.7,3369.056,304,0.251
1-PENTANOL,C5H12O,71-41-0,586,3850.35,326,0.58
2-PENTANONE,C5H10O,107-87-9,561.19,3672,301,0.3396
PHENOL,C6H6O,108-95-2,694.2,6130.163,229,0.44
PHOSGENE,CCl2O,75-44-5,455,5674.2,190,0.204
1-PROPANOL,C3H8O,71-23-8,536.7,5167.575,218.5,0.624
PROPIONIC ACID,C3H6O2,1979-09-04,604,4333,221.8,0.5184
1-PROPANETHIOL,C3H8S,0107-03-09,536.6,4529.228,286.3,0.225
"1,2-PROPYLENE OXIDE",C3H6O,75-56-9,482.2,4924.395,186,0.269
PYRIDINE,C5H5N,110-86-1,620,5633.67,254,0.24
NITRIC ACID,HNO3,7697-37-2,520,6890.1,133,0.7144
HYDROGEN CHLORIDE,HCl,7647-01-0,324.6,8308.65,81,0.12
SALICYLIC ACID METHYL ESTER,C8H8O3,119-36-8,709,4090,412,0.5789
CARBON DISULFIDE,CS2,75-15-0,552,7903.35,202,0.115
STYRENE,C8H8,100-42-5,635.2,3870,347.2,0.3007
TETRAETHYLSILANE,C8H20Si,631-36-7,603.7,2602.026,492,0.473
TERT-BUTANOL,C4H10O,75-65-0,506.2,3971.94,275,0.618
TETRADECANE,C14H30,629-59-4,691.8,1572.564,893.7,0.679
TRANS-DECAHYDRONAPHTHALENE,C10H18,0493-02-07,690,3141.075,485,0.2756
"1,2,3,4-TETRAHYDRONAPHTHALENE",C10H12,119-64-2,719.2,3515.978,408.1,0.3207
TETRACHLOROMETHANE,CCl4,56-23-5,556.4,4559.625,276,0.194
TETRAHYDROFURAN,C4H8O,109-99-9,540.2,5187.84,224,0.217
TOLUENE,C7H8,108-88-3,591.7,4113.795,316,0.257
TRIETHYLAMINE,C6H15N,121-44-8,535,3039.75,390,0.329
"1,1,2-TRICHLOROETHANE",C2H3Cl3,79-00-5,602,4154.325,294,0.2454
TETRACHLOROETHYLENE,C2Cl4,127-18-4,620,4458.3,290,0.242
"1,1,1-TRICHLOROETHANE [R140A]",C2H3Cl3,71-55-6,545,4301.246,268,0.216
TRICHLOROETHYLENE,C2HCl3,1979-01-06,571,4914.263,256,0.213
"1',1',1'-TRIFLUOROTOLUENE",C7H5F3,1998-08-08,565,3390.334,356,0.2816
"2,2,5-TRIMETHYLHEXANE",C9H20,3522-94-9,569.8,2330.475,543.5,0.357
"2,2,3-TRIMETHYLBUTANE",C7H16,0464-06-02,531.1,2949.571,398,0.251
TRICHLOROSILANE,HCl3Si,10025-78-2,479,4054.013,268,0.1935
VINYL ACETATE,C4H6O2,0108-05-04,519.13,4185,265,0.3767
WATER,H2O,7732-18-5,647.3,22048.321,56,0.344
M-XYLENE,C8H10,108-38-3,617,3546.375,376,0.331
P-XYLENE,C8H10,106-42-3,616.2,3515.978,379,0.324
NITROETHANE,C2H5NO2,79-24-3,595,4850.002,228,0.3156
METHYLAMINE,CH5N,74-89-5,430,7457.52,140,0.275
DIMETHYLAMINE,C2H7N,124-40-3,437.6,5309.43,187,0.288
2-PROPANETHIOL,C3H8S,75-33-2,512,4346.843,252,0.213
CYCLOPENTANOL,C5H10O,96-41-3,619.5,4900,280,0.4023
FLUOROBENZENE,C6H5F,0462-06-06,560.1,4549.493,271,0.245
TETRACHLOROSILANE,Cl4Si,10026-04-7,507,3749.025,326,0.264
METHYLTRICHLOROSILANE,CH3Cl3Si,75-79-6,517.75,3526,339.7,0.2468
TRIMETHYLCHLOROSILANE,C3H9ClSi,75-77-4,497.8,3201.87,366,0.2674
